feature,age_spearman_corr,age_spearman_pval,kw_statistic,kw_pval,coefficient_of_variation,age_r_squared,dynamic_score
Int_Med_Cdt1_ring,-0.03169742840929819,0.09599084290325623,75.83965301513672,2.3940549809107385e-16,0.51804924,0.0011293406620423996,0.04476021200613928
Int_Med_cMyc_ring,0.03383750528771295,0.07555862120251128,64.54782104492188,6.267265216996706e-14,0.47403833,0.010916189698884748,0.04406523871835121
Int_Med_cMyc_cyto,0.03383750528771295,0.07555862120251128,64.54782104492188,6.267265216996706e-14,0.47403833,0.010916189698884748,0.04406523871835121
Int_Med_pERK_nuc,-0.05677977697738273,0.0028499021065904544,8.314474105834961,0.0399404875934124,0.51925385,0.0011101715887875674,0.04375764014557767
Int_Med_pSTAT3_cyto,-0.0590357736561028,0.001920722222740578,9.243514060974121,0.026222463697195053,0.4514328,0.002800892357421869,0.04074525705229951
Int_Med_pSTAT3_ring,-0.0590357736561028,0.001920722222740578,9.243514060974121,0.026222463697195053,0.4514328,0.002800892357421869,0.04074525705229951
Int_Med_RSK1_ring,-0.02011618487608783,0.290851965938706,14.555514335632324,0.002238725544884801,0.6786831,0.0004676187753516192,0.04060091642780564
Int_Med_RSK1_cyto,-0.02011618487608783,0.290851965938706,14.555514335632324,0.002238725544884801,0.6786831,0.0004676187753516192,0.04060091642780564
Int_MeanEdge_Skp2_cell,-0.052183797555815564,0.0061132994721269165,14.978515625,0.0018351011676713824,0.45697543,0.004638102168370017,0.039921818651945246
Int_Med_E2F1_cell,0.04396401281832011,0.020925169771521784,8.1541109085083,0.04293179139494896,0.5398695,0.0005531718283541265,0.039731860903048484
Int_Med_p16_ring,-0.05991985797997554,0.0016396220915194323,10.822935104370117,0.012722895480692387,0.4263637,0.0024044977129173972,0.03950944003997557
Int_Med_p16_cyto,-0.05991985797997554,0.0016396220915194323,10.822935104370117,0.012722895480692387,0.4263637,0.0024044977129173972,0.03950944003997557
Int_MeanEdge_E2F1_cell,-0.011847915902740426,0.5338987134618501,14.59765625,0.0021948530338704586,0.7059259,9.449281336282311e-07,0.03895070279671774
Int_Med_cycE_cell,-0.002652896986770219,0.8892260059517697,22.783157348632812,4.48113823949825e-05,0.71933126,0.0007290210602290959,0.03774326514725194
Int_Med_pp27_cell,0.061198213968419166,0.00129960679974929,50.817745208740234,5.3496040930411937e-11,0.27597454,0.005688686334649251,0.03750456231868671
Int_Med_pCHK1_cyto,0.01866619100179283,0.32703435900176364,14.917009353637695,0.001888961298391223,0.6410546,2.0914548091388596e-05,0.03732768073576923
Int_Med_pCHK1_ring,0.01866619100179283,0.32703435900176364,14.917009353637695,0.001888961298391223,0.6410546,2.0914548091388596e-05,0.03732768073576923
Int_Med_cycE_ring,-0.007390527993064244,0.6979970758459139,17.564361572265625,0.0005408763536252081,0.6962595,0.0008346686076169396,0.03724997291333721
Int_Med_cycE_cyto,-0.007390527993064244,0.6979970758459139,17.564361572265625,0.0005408763536252081,0.6962595,0.0008346686076169396,0.03724997291333721
Int_Med_Fra1_nuc,-0.0616491710298524,0.0011960932040313806,28.55275535583496,2.7803114335256396e-06,0.31866553,0.004339320936252333,0.03643536533316725
Int_Med_pp21_cell,0.0350453150133394,0.06569078164684547,50.70944595336914,5.6414730525977674e-11,0.4235337,0.0025423603066209166,0.035896861346805774
Int_Med_p16_cell,-0.04706970134742349,0.0134118455124005,11.077629089355469,0.011313427239656448,0.43629393,0.001506215492392049,0.03468693952058167
Int_Med_E2F1_ring,0.028438183784505227,0.13533921440316354,4.656734943389893,0.1987287551164627,0.5573494,0.000345401679257451,0.03394576368920866
Int_Med_E2F1_cyto,0.028438183784505227,0.13533921440316354,4.656734943389893,0.1987287551164627,0.5573494,0.000345401679257451,0.03394576368920866
Int_MeanEdge_cFos_cell,-0.02744291432543554,0.14955932987504786,12.3681640625,0.0062227374874055386,0.53700346,0.0003171050434969125,0.03342149687107401
Int_Med_RSK1_cell,0.0004180954171696553,0.9824870376696616,6.208207130432129,0.10190838575363159,0.70837855,0.0001266773243266961,0.03309596859081982
Int_Med_Bcl2_cyto,-0.023220854545899543,0.22272482558338122,24.348876953125,2.1122068574186414e-05,0.50982934,0.002340057479768398,0.032528839831534005
Int_Med_Bcl2_ring,-0.023220854545899543,0.22272482558338122,24.348876953125,2.1122068574186414e-05,0.50982934,0.002340057479768398,0.032528839831534005
Int_Med_pp53_cell,0.014484472811277701,0.4469502677846019,20.344701766967773,0.00014398846542462707,0.58150285,6.429128233320647e-05,0.032447975291915634
Int_Med_p38_ring,-0.036855516536157346,0.05290935904923344,34.547611236572266,1.5180854973095848e-07,0.4078509,0.0013349909200640608,0.03243575999462532
Int_Med_p38_cyto,-0.036855516536157346,0.05290935904923344,34.547611236572266,1.5180854973095848e-07,0.4078509,0.0013349909200640608,0.03243575999462532
Int_Med_Bcl2_cell,-0.0168932715547858,0.37507875195112367,20.070886611938477,0.00016409627278335392,0.55236804,0.0024849954281471742,0.03220868399974225
Int_Med_YAP_cell,0.025633598053227194,0.17828764833890196,23.085100173950195,3.8766764191677794e-05,0.49517345,0.00033070533373824595,0.03160448574373867
Int_Med_pH2AX_ring,0.02813812094666046,0.1395119529342069,8.969754219055176,0.02969573438167572,0.5061399,0.0011126436532093997,0.03128447672209883
Int_Med_pH2AX_cyto,0.02813812094666046,0.1395119529342069,8.969754219055176,0.02969573438167572,0.5061399,0.0011126436532093997,0.03128447672209883
Int_Med_GSK3b_cyto,-0.02171518649091654,0.2541890578934406,14.42135238647461,0.0023842703085392714,0.52126086,3.867629463971678e-05,0.030250643921483977
Int_Med_GSK3b_ring,-0.02171518649091654,0.2541890578934406,14.42135238647461,0.0023842703085392714,0.52126086,3.867629463971678e-05,0.030250643921483977
Int_Med_pSTAT3_cell,-0.02975553623307318,0.1181508308059664,2.9497692584991455,0.39943477511405945,0.490871,0.0015943353983817188,0.030050195535573657
Int_Med_pp53_ring,-0.019313854239664852,0.3105264851891388,15.938292503356934,0.0011674999259412289,0.5281527,8.589946200387999e-05,0.030015759577294347
Int_Med_pp53_cyto,-0.019313854239664852,0.3105264851891388,15.938292503356934,0.0011674999259412289,0.5281527,8.589946200387999e-05,0.030015759577294347
Int_MeanEdge_pRSK_cell,-0.006487175609937316,0.7334079285004875,5.416015625,0.14374899864196777,0.62240696,0.0008619268218864606,0.029774200107366727
Int_Med_pRSK_cyto,-0.004077172202488541,0.8304985998492903,15.55283260345459,0.001400280511006713,0.5692413,0.0008432442073589286,0.02682392597617597
Int_Med_pRSK_ring,-0.004077172202488541,0.8304985998492903,15.55283260345459,0.001400280511006713,0.5692413,0.0008432442073589286,0.02682392597617597
Int_Med_p38_cell,-0.015064807256720804,0.42895383149427513,38.90007400512695,1.8223598630129345e-08,0.44127637,0.000158633204419667,0.026174768183780416
Int_Med_GSK3b_cell,0.002208635052129933,0.907685240937194,18.913576126098633,0.0002848815347533673,0.5596635,0.0007571219629770587,0.025936090798793356
Int_Med_pRSK_cell,-0.001206207317802089,0.9495046989475608,13.14851188659668,0.004326202906668186,0.57228607,0.000585808980146707,0.025371723782819513
Int_Med_pp38_ring,0.01195164677237723,0.5303234585536456,5.537064552307129,0.13643847405910492,0.5265082,0.0007091992006770242,0.025371526751701363
Int_Med_pp38_cyto,0.01195164677237723,0.5303234585536456,5.537064552307129,0.13643847405910492,0.5265082,0.0007091992006770242,0.025371526751701363
Int_Med_YAP_cyto,0.017320961051890734,0.3631074033354365,19.25307846069336,0.00024235565797425807,0.4509576,3.475160324240001e-05,0.024428391245052555
Int_Med_YAP_ring,0.017320961051890734,0.3631074033354365,19.25307846069336,0.00024235565797425807,0.4509576,3.475160324240001e-05,0.024428391245052555
Int_Med_pp21_ring,-0.01572091851764839,0.40912372606039865,20.696014404296875,0.00012174206494819373,0.44262922,5.32003851346774e-05,0.02345067601606365
Int_Med_pp21_cyto,-0.01572091851764839,0.40912372606039865,20.696014404296875,0.00012174206494819373,0.44262922,5.32003851346774e-05,0.02345067601606365
Int_Med_bCat_cell,0.03179761300010028,0.09494456506492485,11.562254905700684,0.009043506346642971,0.34441084,0.0014191320068127622,0.022186704338542695
Int_Med_p53_cyto,-0.023092906349823264,0.22528498108776351,6.5137104988098145,0.08912336081266403,0.38364923,0.0008847942383687357,0.020308249414454416
Int_Med_p53_ring,-0.023092906349823264,0.22528498108776351,6.5137104988098145,0.08912336081266403,0.38364923,0.0008847942383687357,0.020308249414454416
Int_Med_p53_cell,0.009913395457826062,0.6027223348231684,1.5427829027175903,0.6724318265914917,0.4478658,0.00013945048707952878,0.018264383663000486
Int_MeanEdge_CDK4_cell,-0.025407566050300624,0.1821471380028191,3.064453125,0.38179412484169006,0.31834307,0.0007626966010535474,0.016138742882448074
Int_Med_pp27_ring,0.02034600823852023,0.2853741783675276,21.219390869140625,9.478911670157686e-05,0.2888673,0.0010355104882145971,0.015179917648667452
Int_Med_pp27_cyto,0.02034600823852023,0.2853741783675276,21.219390869140625,9.478911670157686e-05,0.2888673,0.0010355104882145971,0.015179917648667452
Int_Med_bCat_cyto,-0.0029269861185564636,0.8778667306384798,4.338119983673096,0.22719214856624603,0.32398516,0.0005173406814604764,0.007487718965953806
Int_Med_bCat_ring,-0.0029269861185564636,0.8778667306384798,4.338119983673096,0.22719214856624603,0.32398516,0.0005173406814604764,0.007487718965953806
