Country,ISO3,n_points,mean_tc_risk,frac_intense_storm_exposed,mean_composite_risk_ssp245,frac_very_high_ssp245,frac_high_ssp245,frac_at_or_above_high_ssp245,mean_slr_rate_ssp245_2100,mean_composite_risk_ssp370,frac_very_high_ssp370,frac_high_ssp370,frac_at_or_above_high_ssp370,mean_slr_rate_ssp370_2100,mean_composite_risk_ssp585,frac_very_high_ssp585,frac_high_ssp585,frac_at_or_above_high_ssp585,mean_slr_rate_ssp585_2100,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020
Djibouti,DJI,4,0.01957927329022855,0.0,0.316456303311781,0.0,0.0,0.0,7.2,0.41778963664511426,0.0,0.0,0.0,10.4,0.46778963664511425,0.0,0.0,0.0,12.9,779.0,4169.0,910603.0,6547.0,1037285.0
Benin,BEN,4,0.0,0.0,0.3308333333333333,0.0,0.0,0.0,7.925,0.4205,0.0,0.0,0.0,11.025,0.467,0.0,0.0,0.0,13.350000000000001,2970.0,70975.0,102402912.0,7469.0,6886351.0
Côte d'Ivoire,CIV,7,0.0,0.0,0.3376190476190476,0.0,0.0,0.0,8.12857142857143,0.4194285714285715,0.0,0.0,0.0,10.971428571428572,0.4662857142857143,0.0,0.0,0.0,13.314285714285715,6453.0,82261.0,98886688.0,32548.0,12765872.0
Liberia,LBR,40,0.0,0.0,0.3375,0.0,0.0,0.0,8.125,0.41895000000000004,0.0,0.0,0.0,10.9475,0.4647,0.0,0.0,0.0,13.235000000000003,19726.0,11220.0,7794388.0,5823.0,5240208.0
Togo,TGO,1,0.0,0.0,0.3266666666666666,0.0,0.0,0.0,7.800000000000001,0.418,0.0,0.0,0.0,10.9,0.464,0.0,0.0,0.0,13.2,1455.0,4973.0,5962259.0,4786.0,2366905.0
French Guiana,GUF,516,0.0015636592874655058,0.0,0.33964487873933996,0.0,0.0,0.0,8.165891472868218,0.42536710096156227,0.0,0.0,0.0,11.229263565891474,0.46281283739567075,0.0,0.0,0.0,13.101550387596898,83100.0,3484.0,0.0,6074.0,0.0
Colombia,COL,229,0.013584400844809759,0.034934497816593885,0.3320003518052288,0.008733624454148471,0.0,0.008733624454148471,7.775982532751091,0.4403467855752433,0.008733624454148471,0.004366812227074236,0.013100436681222707,11.677729257641921,0.46131621788965377,0.008733624454148471,0.18777292576419213,0.1965065502183406,12.772052401746725,289936.0,71822.0,242069107.0,15055.0,85285326.0
Guinea-Bissau,GNB,439,0.010102353225980052,0.0,0.332294912376088,0.0,0.0,0.0,7.817312072892937,0.4172425205765436,0.0,0.0,0.0,10.609567198177674,0.4612425205765437,0.0,0.0,0.0,12.809567198177676,297832.0,2443.0,1774430.0,2711.0,1585206.0
Sierra Leone,SLE,240,0.0,0.0,0.33651388888888883,0.0,0.0,0.0,8.095416666666669,0.4159083333333333,0.0,0.0,0.0,10.795416666666666,0.46031666666666665,0.0,0.0,0.0,13.015833333333331,172741.0,10778.0,6624940.0,6660.0,3760047.0
Senegal,SEN,171,0.007764607767483474,0.0,0.3358121284451453,0.0,0.0,0.0,7.957894736842105,0.41722733312350785,0.0,0.0,0.0,10.667251461988306,0.4598939997901745,0.0,0.0,0.0,12.800584795321635,232995.0,30551.0,34984208.0,32980.0,43091067.0
Guinea,GIN,342,0.0016083069586968492,0.0,0.3301511320368533,0.0,0.0,0.0,7.880409356725146,0.41309655114016713,0.0,0.0,0.0,10.614619883040936,0.4567456739471848,0.0,0.0,0.0,12.797076023391812,253417.0,7795.0,9351624.0,21210.0,30338541.0
Gambia,GMB,93,0.00522897321179395,0.0,0.32978294538725894,0.0,0.0,0.0,7.815053763440859,0.41321663714353135,0.0,0.0,0.0,10.530107526881723,0.45577577692847765,0.0,0.0,0.0,12.65806451612903,74425.0,2784.0,1684971.0,1687.0,1323843.0
Egypt,EGY,1,0.0091066387396412,1.0,0.2912199860364873,0.0,0.0,0.0,6.6000000000000005,0.3912199860364873,0.0,0.0,0.0,9.6,0.4545533193698206,0.0,0.0,0.0,12.5,266.0,19801.0,23473652.0,4174.0,2127151.0
Oman,OMN,2,0.0,0.0,0.29,0.0,0.0,0.0,6.7,0.3866666666666666,0.0,0.0,0.0,9.6,0.452,0.0,0.0,0.0,12.6,387.0,38018.0,158500289.0,14581.0,36767113.0
Pakistan,PAK,19,0.0021089058133905584,0.0,0.28315971606459006,0.0,0.0,0.0,6.463157894736842,0.3724579616786251,0.0,0.0,0.0,9.142105263157895,0.4451597160645901,0.0,0.0,0.0,12.20526315789474,82083.0,42299.0,23958274.0,21578.0,18389322.0
Ecuador,ECU,310,0.0,0.0,0.2892795698924731,0.0,0.0,0.0,6.678387096774196,0.42303870967741936,0.0,0.0,0.0,11.151935483870968,0.4340903225806452,0.0,0.0,0.0,11.704516129032257,162785.0,30509.0,143295722.0,16398.0,145772481.0
Peru,PER,8,0.0,0.0,0.2875,0.0,0.0,0.0,6.625,0.425,0.0,0.0,0.0,11.25,0.4325,0.0,0.0,0.0,11.625,11845.0,8188.0,66437364.0,659.0,5598405.0
Bermuda,BMU,1,0.0236772607230671,0.0,0.3385052970282002,0.0,0.0,0.0,7.800000000000001,0.4118386303615336,0.0,0.0,0.0,10.0,0.4318386303615336,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0
