re_tech,re_cf,lcoe_re,electricity_cost,electrolyzer_capex,electrolyzer_om,water_cost,infrastructure,ammonia_conversion,storage,port_handling,shipping,cracking,lcoh_production,total_delivered,hex_id,lat,lon,country,scenario
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_008,-27.46263640789345,14.176730886712376,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_009,-23.5953687452532,20.377395925555145,Botswana,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_010,-24.550423709209024,17.12012686421263,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_011,-17.878820133816777,22.657494744809725,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_012,-21.273618559032023,20.803711428031487,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_013,-19.12686064075004,15.373132979348576,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_014,-23.67902961407203,22.651637219532816,Botswana,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_015,-26.27313533858268,22.266701004955227,Botswana,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_016,-22.344982555809985,16.42469730642244,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_017,-28.23419292674989,15.036593455023418,South Africa,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_018,-19.06842593608901,20.554937055649656,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_019,-21.420027210535224,12.956534770530338,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_020,-19.902947118975515,13.798714834651516,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_021,-24.74568838244158,11.103071776514078,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_022,-17.35162370726116,22.016941285029937,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_023,-18.282546544133627,20.30791199228845,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_024,-19.659398035114855,20.87231530076869,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_025,-26.66433550577639,21.93020643430755,Botswana,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_026,-23.39934795527559,17.42482085753676,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_027,-28.47435481055325,18.962376743340517,Botswana,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_028,-27.148526095189425,12.957157973787204,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_029,-20.803412561090543,12.603421029503629,Namibia,EU baseline (4%)
