inner,outer,shell_class,shell_index,core_atoms,outer_shell_atoms,cluster_notation,total_atoms,mismatch,mismatch_source,predicted_free_energy
Cs,Na,Ch1,2,13,32,Cs13@Na32,45,0.3503325942350332,radius_ratio,0.04537626068701632
Na,Cs,Ch1,2,13,32,Na13@Cs32,45,0.3503325942350332,radius_ratio,0.04537626068701632
Cu,K,Ch2,4,147,132,Cu147@K132,279,0.5577464788732395,radius_ratio,0.05264877008530355
K,Cu,Ch2,4,147,132,K147@Cu132,279,0.5577464788732395,radius_ratio,0.05264877008530355
Ag,K,BG,4,147,122,Ag147@K122,269,0.4474393530997305,radius_ratio,0.11829620389273732
K,Ag,BG,4,147,122,K147@Ag122,269,0.4474393530997305,radius_ratio,0.11829620389273732
Ag,Na,MC,2,13,42,Ag13@Na42,55,0.25454545454545463,radius_ratio,0.15208925619834934
Na,Ag,MC,2,13,42,Na13@Ag42,55,0.25454545454545463,radius_ratio,0.15208925619834934
K,Ag,Ch1,3,55,72,K55@Ag72,127,0.4474393530997305,radius_ratio,0.39619647343451403
Ag,K,Ch1,3,55,72,Ag55@K72,127,0.4474393530997305,radius_ratio,0.39619647343451403
Cs,Na,MC,3,55,92,Cs55@Na92,147,0.3503325942350332,radius_ratio,0.47150042920142826
Na,Cs,MC,3,55,92,Na55@Cs92,147,0.3503325942350332,radius_ratio,0.47150042920142826
Na,Cu,Ch1,2,13,32,Na13@Cu32,45,0.3694267515923567,radius_ratio,0.5518419895330446
Cu,Na,Ch1,2,13,32,Cu13@Na32,45,0.3694267515923567,radius_ratio,0.5518419895330446
Na,Ni,BG,3,55,72,Na55@Ni72,127,0.4000000000000001,radius_ratio,0.779800000000002
Ni,Na,BG,3,55,72,Ni55@Na72,127,0.4000000000000001,radius_ratio,0.779800000000002
Rb,Ag,Ch1,4,147,122,Rb147@Ag122,269,0.5306122448979592,radius_ratio,1.1705401082882139
Ag,Rb,Ch1,4,147,122,Ag147@Rb122,269,0.5306122448979592,radius_ratio,1.1705401082882139
K,Ag,Ch2,2,13,32,K13@Ag32,45,0.4474393530997305,radius_ratio,1.1771294923024396
Ag,K,Ch2,2,13,32,Ag13@K32,45,0.4474393530997305,radius_ratio,1.1771294923024396
Na,Cu,MC,3,55,92,Na55@Cu92,147,0.3694267515923567,radius_ratio,1.2147337092782684
Cu,Na,MC,3,55,92,Cu55@Na92,147,0.3694267515923567,radius_ratio,1.2147337092782684
Ni,K,Ch2,4,147,132,Ni147@K132,279,0.586894586894587,radius_ratio,1.2596480746909577
K,Ni,Ch2,4,147,132,K147@Ni132,279,0.586894586894587,radius_ratio,1.2596480746909577
Ni,Na,Ch1,2,13,32,Ni13@Na32,45,0.4000000000000001,radius_ratio,1.3708000000000018
Na,Ni,Ch1,2,13,32,Na13@Ni32,45,0.4000000000000001,radius_ratio,1.3708000000000018
Ag,Rb,Ch2,3,55,72,Ag55@Rb72,127,0.5306122448979592,radius_ratio,1.4176186797167873
Rb,Ag,Ch2,3,55,72,Rb55@Ag72,127,0.5306122448979592,radius_ratio,1.4176186797167873
Ag,Cs,Ch2,4,147,132,Ag147@Cs132,279,0.5916870415647921,radius_ratio,1.4675339007418646
Cs,Ag,Ch2,4,147,132,Cs147@Ag132,279,0.5916870415647921,radius_ratio,1.4675339007418646
Cs,Na,BG,2,13,42,Cs13@Na42,55,0.3503325942350332,radius_ratio,1.5865713826382346
Na,Cs,BG,2,13,42,Na13@Cs42,55,0.3503325942350332,radius_ratio,1.5865713826382346
Ag,K,MC,4,147,162,Ag147@K162,309,0.4474393530997305,radius_ratio,2.0164444518711724
K,Ag,MC,4,147,162,K147@Ag162,309,0.4474393530997305,radius_ratio,2.0164444518711724
Cu,Na,BG,2,13,42,Cu13@Na42,55,0.3694267515923567,radius_ratio,2.2190585500426003
Na,Cu,BG,2,13,42,Na13@Cu42,55,0.3694267515923567,radius_ratio,2.2190585500426003
Cu,K,Ch1,4,147,122,Cu147@K122,269,0.5577464788732395,radius_ratio,2.39930862924023
K,Cu,Ch1,4,147,122,K147@Cu122,269,0.5577464788732395,radius_ratio,2.39930862924023
Na,Ni,MC,3,55,92,Na55@Ni92,147,0.4000000000000001,radius_ratio,2.4128000000000043
Ni,Na,MC,3,55,92,Ni55@Na92,147,0.4000000000000001,radius_ratio,2.4128000000000043
Cu,K,Ch2,3,55,72,Cu55@K72,127,0.5577464788732395,radius_ratio,2.4526487700853035
K,Cu,Ch2,3,55,72,K55@Cu72,127,0.5577464788732395,radius_ratio,2.4526487700853035
Ag,K,BG,3,55,72,Ag55@K72,127,0.4474393530997305,radius_ratio,2.5782962038927373
K,Ag,BG,3,55,72,K55@Ag72,127,0.4474393530997305,radius_ratio,2.5782962038927373
Ag,K,Ch1,2,13,32,Ag13@K32,45,0.4474393530997305,radius_ratio,2.8561964734345144
K,Ag,Ch1,2,13,32,K13@Ag32,45,0.4474393530997305,radius_ratio,2.8561964734345144
Cs,Na,MC,2,13,42,Cs13@Na42,55,0.3503325942350332,radius_ratio,2.9415004292014286
Na,Cs,MC,2,13,42,Na13@Cs42,55,0.3503325942350332,radius_ratio,2.9415004292014286
Ni,Na,BG,2,13,42,Ni13@Na42,55,0.4000000000000001,radius_ratio,3.2398000000000016
Na,Ni,BG,2,13,42,Na13@Ni42,55,0.4000000000000001,radius_ratio,3.2398000000000016
Rb,Cu,Ch2,4,147,132,Rb147@Cu132,279,0.6382978723404256,radius_ratio,3.6283712313263954
Cu,Rb,Ch2,4,147,132,Cu147@Rb132,279,0.6382978723404256,radius_ratio,3.6283712313263954
Rb,Ag,Ch1,3,55,72,Rb55@Ag72,127,0.5306122448979592,radius_ratio,3.6305401082882134
Ag,Rb,Ch1,3,55,72,Ag55@Rb72,127,0.5306122448979592,radius_ratio,3.6305401082882134
K,Ni,Ch2,3,55,72,K55@Ni72,127,0.586894586894587,radius_ratio,3.659648074690957
Ni,K,Ch2,3,55,72,Ni55@K72,127,0.586894586894587,radius_ratio,3.659648074690957
Cu,Na,MC,2,13,42,Cu13@Na42,55,0.3694267515923567,radius_ratio,3.6847337092782686
Na,Cu,MC,2,13,42,Na13@Cu42,55,0.3694267515923567,radius_ratio,3.6847337092782686
Ni,K,Ch1,4,147,122,Ni147@K122,269,0.586894586894587,radius_ratio,3.814425425118304
K,Ni,Ch1,4,147,122,K147@Ni122,269,0.586894586894587,radius_ratio,3.814425425118304
Ag,Rb,Ch2,2,13,32,Ag13@Rb32,45,0.5306122448979592,radius_ratio,3.8176186797167873
Rb,Ag,Ch2,2,13,32,Rb13@Ag32,45,0.5306122448979592,radius_ratio,3.8176186797167873
Cs,Ag,Ch2,3,55,72,Cs55@Ag72,127,0.5916870415647921,radius_ratio,3.8675339007418645
Ag,Cs,Ch2,3,55,72,Ag55@Cs72,127,0.5916870415647921,radius_ratio,3.8675339007418645
Ag,Rb,BG,4,147,122,Ag147@Rb122,269,0.5306122448979592,radius_ratio,3.901580924614747
Rb,Ag,BG,4,147,122,Rb147@Ag122,269,0.5306122448979592,radius_ratio,3.901580924614747
Cs,Ag,Ch1,4,147,122,Cs147@Ag122,269,0.5916870415647921,radius_ratio,4.056529377514478
Ag,Cs,Ch1,4,147,122,Ag147@Cs122,269,0.5916870415647921,radius_ratio,4.056529377514478
Ag,K,MC,3,55,92,Ag55@K92,147,0.4474393530997305,radius_ratio,4.486444451871173
K,Ag,MC,3,55,92,K55@Ag92,147,0.4474393530997305,radius_ratio,4.486444451871173
K,Cu,Ch2,2,13,32,K13@Cu32,45,0.5577464788732395,radius_ratio,4.852648770085303
Cu,K,Ch2,2,13,32,Cu13@K32,45,0.5577464788732395,radius_ratio,4.852648770085303
Cu,K,Ch1,3,55,72,Cu55@K72,127,0.5577464788732395,radius_ratio,4.85930862924023
K,Cu,Ch1,3,55,72,K55@Cu72,127,0.5577464788732395,radius_ratio,4.85930862924023
Ni,Na,MC,2,13,42,Ni13@Na42,55,0.4000000000000001,radius_ratio,4.882800000000005
Na,Ni,MC,2,13,42,Na13@Ni42,55,0.4000000000000001,radius_ratio,4.882800000000005
K,Ag,BG,2,13,42,K13@Ag42,55,0.4474393530997305,radius_ratio,5.038296203892737
Ag,K,BG,2,13,42,Ag13@K42,55,0.4474393530997305,radius_ratio,5.038296203892737
Rb,Ni,Ch2,4,147,132,Rb147@Ni132,279,0.6666666666666667,radius_ratio,5.066894444444451
Ni,Rb,Ch2,4,147,132,Ni147@Rb132,279,0.6666666666666667,radius_ratio,5.066894444444451
K,Cu,BG,4,147,122,K147@Cu122,269,0.5577464788732395,radius_ratio,5.309435389803614
Cu,K,BG,4,147,122,Cu147@K122,269,0.5577464788732395,radius_ratio,5.309435389803614
Cu,Rb,Ch2,3,55,72,Cu55@Rb72,127,0.6382978723404256,radius_ratio,6.028371231326394
Rb,Cu,Ch2,3,55,72,Rb55@Cu72,127,0.6382978723404256,radius_ratio,6.028371231326394
K,Ni,Ch2,2,13,32,K13@Ni32,45,0.586894586894587,radius_ratio,6.059648074690957
Ni,K,Ch2,2,13,32,Ni13@K32,45,0.586894586894587,radius_ratio,6.059648074690957
Ag,Rb,Ch1,2,13,32,Ag13@Rb32,45,0.5306122448979592,radius_ratio,6.090540108288214
Rb,Ag,Ch1,2,13,32,Rb13@Ag32,45,0.5306122448979592,radius_ratio,6.090540108288214
Cs,Ag,Ch2,2,13,32,Cs13@Ag32,45,0.5916870415647921,radius_ratio,6.2675339007418644
Ag,Cs,Ch2,2,13,32,Ag13@Cs32,45,0.5916870415647921,radius_ratio,6.2675339007418644
Ni,K,Ch1,3,55,72,Ni55@K72,127,0.586894586894587,radius_ratio,6.274425425118304
K,Ni,Ch1,3,55,72,K55@Ni72,127,0.586894586894587,radius_ratio,6.274425425118304
Rb,Ag,MC,4,147,162,Rb147@Ag162,309,0.5306122448979592,radius_ratio,6.282131945022908
Ag,Rb,MC,4,147,162,Ag147@Rb162,309,0.5306122448979592,radius_ratio,6.282131945022908
Ag,Rb,BG,3,55,72,Ag55@Rb72,127,0.5306122448979592,radius_ratio,6.3615809246147474
Rb,Ag,BG,3,55,72,Rb55@Ag72,127,0.5306122448979592,radius_ratio,6.3615809246147474
Cs,Ag,Ch1,3,55,72,Cs55@Ag72,127,0.5916870415647921,radius_ratio,6.516529377514478
Ag,Cs,Ch1,3,55,72,Ag55@Cs72,127,0.5916870415647921,radius_ratio,6.516529377514478
Rb,Cu,Ch1,4,147,122,Rb147@Cu122,269,0.6382978723404256,radius_ratio,6.550168039837032
Cu,Rb,Ch1,4,147,122,Cu147@Rb122,269,0.6382978723404256,radius_ratio,6.550168039837032
Cu,Cs,Ch2,4,147,132,Cu147@Cs132,279,0.6972010178117048,radius_ratio,6.7195456108488925
Cs,Cu,Ch2,4,147,132,Cs147@Cu132,279,0.6972010178117048,radius_ratio,6.7195456108488925
K,Ni,BG,4,147,122,K147@Ni122,269,0.586894586894587,radius_ratio,6.916929698622582
Ni,K,BG,4,147,122,Ni147@K122,269,0.586894586894587,radius_ratio,6.916929698622582
K,Ag,MC,2,13,42,K13@Ag42,55,0.4474393530997305,radius_ratio,6.956444451871173
Ag,K,MC,2,13,42,Ag13@K42,55,0.4474393530997305,radius_ratio,6.956444451871173
Cs,Ag,BG,4,147,122,Cs147@Ag122,269,0.5916870415647921,radius_ratio,7.1906638518421095
Ag,Cs,BG,4,147,122,Ag147@Cs122,269,0.5916870415647921,radius_ratio,7.1906638518421095
Cu,K,Ch1,2,13,32,Cu13@K32,45,0.5577464788732395,radius_ratio,7.319308629240231
K,Cu,Ch1,2,13,32,K13@Cu32,45,0.5577464788732395,radius_ratio,7.319308629240231
Ni,Rb,Ch2,3,55,72,Ni55@Rb72,127,0.6666666666666667,radius_ratio,7.46689444444445
Rb,Ni,Ch2,3,55,72,Rb55@Ni72,127,0.6666666666666667,radius_ratio,7.46689444444445
K,Cu,BG,3,55,72,K55@Cu72,127,0.5577464788732395,radius_ratio,7.769435389803614
Cu,K,BG,3,55,72,Cu55@K72,127,0.5577464788732395,radius_ratio,7.769435389803614
Cu,K,MC,4,147,162,Cu147@K162,309,0.5577464788732395,radius_ratio,7.847364967268398
K,Cu,MC,4,147,162,K147@Cu162,309,0.5577464788732395,radius_ratio,7.847364967268398
Rb,Ni,Ch1,4,147,122,Rb147@Ni122,269,0.6666666666666667,radius_ratio,8.191244444444447
Ni,Rb,Ch1,4,147,122,Ni147@Rb122,269,0.6666666666666667,radius_ratio,8.191244444444447
Cs,Ni,Ch2,4,147,132,Cs147@Ni132,279,0.724935732647815,radius_ratio,8.314400753695793
Ni,Cs,Ch2,4,147,132,Ni147@Cs132,279,0.724935732647815,radius_ratio,8.314400753695793
Cu,Rb,Ch2,2,13,32,Cu13@Rb32,45,0.6382978723404256,radius_ratio,8.428371231326395
Rb,Cu,Ch2,2,13,32,Rb13@Cu32,45,0.6382978723404256,radius_ratio,8.428371231326395
K,Ni,Ch1,2,13,32,K13@Ni32,45,0.586894586894587,radius_ratio,8.734425425118305
Ni,K,Ch1,2,13,32,Ni13@K32,45,0.586894586894587,radius_ratio,8.734425425118305
Ag,Rb,MC,3,55,92,Ag55@Rb92,147,0.5306122448979592,radius_ratio,8.752131945022908
Rb,Ag,MC,3,55,92,Rb55@Ag92,147,0.5306122448979592,radius_ratio,8.752131945022908
Rb,Ag,BG,2,13,42,Rb13@Ag42,55,0.5306122448979592,radius_ratio,8.821580924614747
Ag,Rb,BG,2,13,42,Ag13@Rb42,55,0.5306122448979592,radius_ratio,8.821580924614747
Ag,Cs,Ch1,2,13,32,Ag13@Cs32,45,0.5916870415647921,radius_ratio,8.976529377514478
Cs,Ag,Ch1,2,13,32,Cs13@Ag32,45,0.5916870415647921,radius_ratio,8.976529377514478
Cu,Rb,Ch1,3,55,72,Cu55@Rb72,127,0.6382978723404256,radius_ratio,9.010168039837032
Rb,Cu,Ch1,3,55,72,Rb55@Cu72,127,0.6382978723404256,radius_ratio,9.010168039837032
Cu,Cs,Ch2,3,55,72,Cu55@Cs72,127,0.6972010178117048,radius_ratio,9.119545610848892
Cs,Cu,Ch2,3,55,72,Cs55@Cu72,127,0.6972010178117048,radius_ratio,9.119545610848892
K,Ni,BG,3,55,72,K55@Ni72,127,0.586894586894587,radius_ratio,9.376929698622583
Ni,K,BG,3,55,72,Ni55@K72,127,0.586894586894587,radius_ratio,9.376929698622583
Ni,K,MC,4,147,162,Ni147@K162,309,0.586894586894587,radius_ratio,9.62391830261118
K,Ni,MC,4,147,162,K147@Ni162,309,0.586894586894587,radius_ratio,9.62391830261118
Cs,Ag,BG,3,55,72,Cs55@Ag72,127,0.5916870415647921,radius_ratio,9.65066385184211
Ag,Cs,BG,3,55,72,Ag55@Cs72,127,0.5916870415647921,radius_ratio,9.65066385184211
Ni,Rb,Ch2,2,13,32,Ni13@Rb32,45,0.6666666666666667,radius_ratio,9.86689444444445
Rb,Ni,Ch2,2,13,32,Rb13@Ni32,45,0.6666666666666667,radius_ratio,9.86689444444445
Ag,Cs,MC,4,147,162,Ag147@Cs162,309,0.5916870415647921,radius_ratio,9.925448692917897
Cs,Ag,MC,4,147,162,Cs147@Ag162,309,0.5916870415647921,radius_ratio,9.925448692917897
Cu,Rb,BG,4,147,122,Cu147@Rb122,269,0.6382978723404256,radius_ratio,9.99193399728384
Rb,Cu,BG,4,147,122,Rb147@Cu122,269,0.6382978723404256,radius_ratio,9.99193399728384
Cu,Cs,Ch1,4,147,122,Cu147@Cs122,269,0.6972010178117048,radius_ratio,10.06191087802446
Cs,Cu,Ch1,4,147,122,Cs147@Cu122,269,0.6972010178117048,radius_ratio,10.06191087802446
Cu,K,BG,2,13,42,Cu13@K42,55,0.5577464788732395,radius_ratio,10.229435389803614
K,Cu,BG,2,13,42,K13@Cu42,55,0.5577464788732395,radius_ratio,10.229435389803614
K,Cu,MC,3,55,92,K55@Cu92,147,0.5577464788732395,radius_ratio,10.317364967268398
Cu,K,MC,3,55,92,Cu55@K92,147,0.5577464788732395,radius_ratio,10.317364967268398
Ni,Rb,Ch1,3,55,72,Ni55@Rb72,127,0.6666666666666667,radius_ratio,10.651244444444448
Rb,Ni,Ch1,3,55,72,Rb55@Ni72,127,0.6666666666666667,radius_ratio,10.651244444444448
Ni,Cs,Ch2,3,55,72,Ni55@Cs72,127,0.724935732647815,radius_ratio,10.714400753695791
Cs,Ni,Ch2,3,55,72,Cs55@Ni72,127,0.724935732647815,radius_ratio,10.714400753695791
Ag,Rb,MC,2,13,42,Ag13@Rb42,55,0.5306122448979592,radius_ratio,11.222131945022909
Rb,Ag,MC,2,13,42,Rb13@Ag42,55,0.5306122448979592,radius_ratio,11.222131945022909
Rb,Cu,Ch1,2,13,32,Rb13@Cu32,45,0.6382978723404256,radius_ratio,11.470168039837032
Cu,Rb,Ch1,2,13,32,Cu13@Rb32,45,0.6382978723404256,radius_ratio,11.470168039837032
Cu,Cs,Ch2,2,13,32,Cu13@Cs32,45,0.6972010178117048,radius_ratio,11.51954561084889
Cs,Cu,Ch2,2,13,32,Cs13@Cu32,45,0.6972010178117048,radius_ratio,11.51954561084889
Ni,Rb,BG,4,147,122,Ni147@Rb122,269,0.6666666666666667,radius_ratio,11.820244444444452
Rb,Ni,BG,4,147,122,Rb147@Ni122,269,0.6666666666666667,radius_ratio,11.820244444444452
Ni,K,BG,2,13,42,Ni13@K42,55,0.586894586894587,radius_ratio,11.836929698622582
K,Ni,BG,2,13,42,K13@Ni42,55,0.586894586894587,radius_ratio,11.836929698622582
Cs,Ni,Ch1,4,147,122,Cs147@Ni122,269,0.724935732647815,radius_ratio,11.854791884801188
Ni,Cs,Ch1,4,147,122,Ni147@Cs122,269,0.724935732647815,radius_ratio,11.854791884801188
K,Ni,MC,3,55,92,K55@Ni92,147,0.586894586894587,radius_ratio,12.093918302611181
Ni,K,MC,3,55,92,Ni55@K92,147,0.586894586894587,radius_ratio,12.093918302611181
Ag,Cs,BG,2,13,42,Ag13@Cs42,55,0.5916870415647921,radius_ratio,12.110663851842109
Cs,Ag,BG,2,13,42,Cs13@Ag42,55,0.5916870415647921,radius_ratio,12.110663851842109
Ag,Cs,MC,3,55,92,Ag55@Cs92,147,0.5916870415647921,radius_ratio,12.395448692917899
Cs,Ag,MC,3,55,92,Cs55@Ag92,147,0.5916870415647921,radius_ratio,12.395448692917899
Cu,Rb,BG,3,55,72,Cu55@Rb72,127,0.6382978723404256,radius_ratio,12.451933997283842
Rb,Cu,BG,3,55,72,Rb55@Cu72,127,0.6382978723404256,radius_ratio,12.451933997283842
Cs,Cu,Ch1,3,55,72,Cs55@Cu72,127,0.6972010178117048,radius_ratio,12.52191087802446
Cu,Cs,Ch1,3,55,72,Cu55@Cs72,127,0.6972010178117048,radius_ratio,12.52191087802446
Cu,K,MC,2,13,42,Cu13@K42,55,0.5577464788732395,radius_ratio,12.787364967268399
K,Cu,MC,2,13,42,K13@Cu42,55,0.5577464788732395,radius_ratio,12.787364967268399
Cu,Rb,MC,4,147,162,Cu147@Rb162,309,0.6382978723404256,radius_ratio,12.997061656858305
Rb,Cu,MC,4,147,162,Rb147@Cu162,309,0.6382978723404256,radius_ratio,12.997061656858305
Rb,Ni,Ch1,2,13,32,Rb13@Ni32,45,0.6666666666666667,radius_ratio,13.111244444444447
Ni,Rb,Ch1,2,13,32,Ni13@Rb32,45,0.6666666666666667,radius_ratio,13.111244444444447
Ni,Cs,Ch2,2,13,32,Ni13@Cs32,45,0.724935732647815,radius_ratio,13.11440075369579
Cs,Ni,Ch2,2,13,32,Cs13@Ni32,45,0.724935732647815,radius_ratio,13.11440075369579
Cs,Cu,BG,4,147,122,Cs147@Cu122,269,0.6972010178117048,radius_ratio,13.892437595581717
Cu,Cs,BG,4,147,122,Cu147@Cs122,269,0.6972010178117048,radius_ratio,13.892437595581717
Rb,Ni,BG,3,55,72,Rb55@Ni72,127,0.6666666666666667,radius_ratio,14.280244444444453
Ni,Rb,BG,3,55,72,Ni55@Rb72,127,0.6666666666666667,radius_ratio,14.280244444444453
Ni,Cs,Ch1,3,55,72,Ni55@Cs72,127,0.724935732647815,radius_ratio,14.314791884801187
Cs,Ni,Ch1,3,55,72,Cs55@Ni72,127,0.724935732647815,radius_ratio,14.314791884801187
K,Ni,MC,2,13,42,K13@Ni42,55,0.586894586894587,radius_ratio,14.563918302611182
Ni,K,MC,2,13,42,Ni13@K42,55,0.586894586894587,radius_ratio,14.563918302611182
Cs,Ag,MC,2,13,42,Cs13@Ag42,55,0.5916870415647921,radius_ratio,14.865448692917898
Ag,Cs,MC,2,13,42,Ag13@Cs42,55,0.5916870415647921,radius_ratio,14.865448692917898
Rb,Cu,BG,2,13,42,Rb13@Cu42,55,0.6382978723404256,radius_ratio,14.91193399728384
Cu,Rb,BG,2,13,42,Cu13@Rb42,55,0.6382978723404256,radius_ratio,14.91193399728384
Cs,Cu,Ch1,2,13,32,Cs13@Cu32,45,0.6972010178117048,radius_ratio,14.98191087802446
Cu,Cs,Ch1,2,13,32,Cu13@Cs32,45,0.6972010178117048,radius_ratio,14.98191087802446
Ni,Rb,MC,4,147,162,Ni147@Rb162,309,0.6666666666666667,radius_ratio,14.989911111111113
Rb,Ni,MC,4,147,162,Rb147@Ni162,309,0.6666666666666667,radius_ratio,14.989911111111113
Cu,Rb,MC,3,55,92,Cu55@Rb92,147,0.6382978723404256,radius_ratio,15.467061656858306
Rb,Cu,MC,3,55,92,Rb55@Cu92,147,0.6382978723404256,radius_ratio,15.467061656858306
Ni,Cs,BG,4,147,122,Ni147@Cs122,269,0.724935732647815,radius_ratio,15.86836772027677
Cs,Ni,BG,4,147,122,Cs147@Ni122,269,0.724935732647815,radius_ratio,15.86836772027677
Cs,Cu,BG,3,55,72,Cs55@Cu72,127,0.6972010178117048,radius_ratio,16.352437595581716
Cu,Cs,BG,3,55,72,Cu55@Cs72,127,0.6972010178117048,radius_ratio,16.352437595581716
Ni,Rb,BG,2,13,42,Ni13@Rb42,55,0.6666666666666667,radius_ratio,16.74024444444445
Rb,Ni,BG,2,13,42,Rb13@Ni42,55,0.6666666666666667,radius_ratio,16.74024444444445
Ni,Cs,Ch1,2,13,32,Ni13@Cs32,45,0.724935732647815,radius_ratio,16.77479188480119
Cs,Ni,Ch1,2,13,32,Cs13@Ni32,45,0.724935732647815,radius_ratio,16.77479188480119
Cu,Cs,MC,4,147,162,Cu147@Cs162,309,0.6972010178117048,radius_ratio,17.239203498889598
Cs,Cu,MC,4,147,162,Cs147@Cu162,309,0.6972010178117048,radius_ratio,17.239203498889598
Rb,Ni,MC,3,55,92,Rb55@Ni92,147,0.6666666666666667,radius_ratio,17.45991111111111
Ni,Rb,MC,3,55,92,Ni55@Rb92,147,0.6666666666666667,radius_ratio,17.45991111111111
Cu,Rb,MC,2,13,42,Cu13@Rb42,55,0.6382978723404256,radius_ratio,17.937061656858305
Rb,Cu,MC,2,13,42,Rb13@Cu42,55,0.6382978723404256,radius_ratio,17.937061656858305
Cs,Ni,BG,3,55,72,Cs55@Ni72,127,0.724935732647815,radius_ratio,18.32836772027677
Ni,Cs,BG,3,55,72,Ni55@Cs72,127,0.724935732647815,radius_ratio,18.32836772027677
Cs,Cu,BG,2,13,42,Cs13@Cu42,55,0.6972010178117048,radius_ratio,18.812437595581716
Cu,Cs,BG,2,13,42,Cu13@Cs42,55,0.6972010178117048,radius_ratio,18.812437595581716
Cs,Ni,MC,4,147,162,Cs147@Ni162,309,0.724935732647815,radius_ratio,19.37599496963409
Ni,Cs,MC,4,147,162,Ni147@Cs162,309,0.724935732647815,radius_ratio,19.37599496963409
Cs,Cu,MC,3,55,92,Cs55@Cu92,147,0.6972010178117048,radius_ratio,19.709203498889597
Cu,Cs,MC,3,55,92,Cu55@Cs92,147,0.6972010178117048,radius_ratio,19.709203498889597
Ni,Rb,MC,2,13,42,Ni13@Rb42,55,0.6666666666666667,radius_ratio,19.929911111111114
Rb,Ni,MC,2,13,42,Rb13@Ni42,55,0.6666666666666667,radius_ratio,19.929911111111114
Cs,Ni,BG,2,13,42,Cs13@Ni42,55,0.724935732647815,radius_ratio,20.78836772027677
Ni,Cs,BG,2,13,42,Ni13@Cs42,55,0.724935732647815,radius_ratio,20.78836772027677
Cs,Ni,MC,3,55,92,Cs55@Ni92,147,0.724935732647815,radius_ratio,21.84599496963409
Ni,Cs,MC,3,55,92,Ni55@Cs92,147,0.724935732647815,radius_ratio,21.84599496963409
Cs,Cu,MC,2,13,42,Cs13@Cu42,55,0.6972010178117048,radius_ratio,22.1792034988896
Cu,Cs,MC,2,13,42,Cu13@Cs42,55,0.6972010178117048,radius_ratio,22.1792034988896
Ni,Cs,MC,2,13,42,Ni13@Cs42,55,0.724935732647815,radius_ratio,24.31599496963409
Cs,Ni,MC,2,13,42,Cs13@Ni42,55,0.724935732647815,radius_ratio,24.31599496963409
