task_index,task,placeholder,grader,score,llm_value,human_value
5,"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,Haining,2.0,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. Note that the spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
5,"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,Will,2.0,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. Note that the spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
5,"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,Yasaman,1.0,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. Note that the spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,Haining,2.0,$\hat{\mathcal{H}}_0$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,Will,0.0,$\hat{\mathcal{H}}_0$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_0$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,Haining,2.0,$H_{\tau}$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,Will,0.0,$H_{\tau}$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,Yasaman,2.0,$H_{\tau}$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,Haining,2.0,$\Psi_{\tau}$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,Will,2.0,$\Psi_{\tau}$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,Yasaman,2.0,$\Psi_{\tau}$,
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,Haining,2.0,"$\hat{\mathcal{H}}_0$ is the second-quantized form Hamiltonian, $H_{\tau}$ is the matrix element, and $\Psi_{\tau}$ is the basis. $\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,Will,2.0,"$\hat{\mathcal{H}}_0$ is the second-quantized form Hamiltonian, $H_{\tau}$ is the matrix element, and $\Psi_{\tau}$ is the basis. $\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,Yasaman,2.0,"$\hat{\mathcal{H}}_0$ is the second-quantized form Hamiltonian, $H_{\tau}$ is the matrix element, and $\Psi_{\tau}$ is the basis. $\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",expression_second_nonint,Haining,,,$\hat{H}^{0} = \int dr \vec{\psi}^\dagger(r) H^{0}(r) \vec{\psi}(r)$
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",expression_second_nonint,Will,,,$\hat{H}^{0} = \int dr \vec{\psi}^\dagger(r) H^{0}(r) \vec{\psi}(r)$
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",expression_second_nonint,Yasaman,,,$\hat{H}^{0} = \int dr \vec{\psi}^\dagger(r) H^{0}(r) \vec{\psi}(r)$
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_creation_op,Haining,2.0,$\Psi_{\tau}^\dagger(\bm{r})$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_creation_op,Will,2.0,$\Psi_{\tau}^\dagger(\bm{r})$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_creation_op,Yasaman,2.0,$\Psi_{\tau}^\dagger(\bm{r})$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),momentum_creation_op,Haining,2.0,"$c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger$",
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),momentum_creation_op,Will,2.0,"$c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger$",
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),momentum_creation_op,Yasaman,2.0,"$c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger$",
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,Haining,0.0,"$\hat{\mathcal{H}}_0=\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)} c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger c_{\bm{k}_{\beta},l_{\beta},\tau}$","$c_{\tau,l}^\dagger(k)= \frac{1}{\sqrt{V}} \int dr \psi_{\tau,l}^\dagger(r) e^{i k \cdot r}$"
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,Will,2.0,"$\hat{\mathcal{H}}_0=\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)} c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger c_{\bm{k}_{\beta},l_{\beta},\tau}$","$c_{\tau,l}^\dagger(k)= \frac{1}{\sqrt{V}} \int dr \psi_{\tau,l}^\dagger(r) e^{i k \cdot r}$"
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,Yasaman,0.0,"$\hat{\mathcal{H}}_0=\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)} c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger c_{\bm{k}_{\beta},l_{\beta},\tau}$","$c_{\tau,l}^\dagger(k)= \frac{1}{\sqrt{V}} \int dr \psi_{\tau,l}^\dagger(r) e^{i k \cdot r}$"
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,Haining,2.0,$\bm{r}$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,Will,2.0,$\bm{r}$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,Yasaman,2.0,$\bm{r}$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),entire_real|first_Brillouin_Zone,Haining,2.0,entire real space,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),entire_real|first_Brillouin_Zone,Will,,entire real space,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),entire_real|first_Brillouin_Zone,Yasaman,2.0,entire real space,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,Haining,2.0,$\hat{\mathcal{H}}_0$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,Will,2.0,$\hat{\mathcal{H}}_0$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_0$,
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,Haining,2.0,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent. $h^{(\tau)}$ is the Hamiltonian $H_{\tau}$ expanded in the plane-wave basis, and the momentum $\bm{k}$ is defined in the extended Brillouin zone that spans the full momentum space, i.e., $\bm{k} \in \mathbb{R}^2$. The subscripts $\alpha,\beta$ are index for momenta. Due to Bloch's theorem, $h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)}$ is nonzero only when $\bm{k}_{\alpha}-\bm{k}_{\beta}$ is equal to the linear combination of any multiples of one of the moir\'e reciprocal lattice vectors (including the zero vector).",
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,Will,2.0,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent. $h^{(\tau)}$ is the Hamiltonian $H_{\tau}$ expanded in the plane-wave basis, and the momentum $\bm{k}$ is defined in the extended Brillouin zone that spans the full momentum space, i.e., $\bm{k} \in \mathbb{R}^2$. The subscripts $\alpha,\beta$ are index for momenta. Due to Bloch's theorem, $h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)}$ is nonzero only when $\bm{k}_{\alpha}-\bm{k}_{\beta}$ is equal to the linear combination of any multiples of one of the moir\'e reciprocal lattice vectors (including the zero vector).",
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,Yasaman,2.0,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent. $h^{(\tau)}$ is the Hamiltonian $H_{\tau}$ expanded in the plane-wave basis, and the momentum $\bm{k}$ is defined in the extended Brillouin zone that spans the full momentum space, i.e., $\bm{k} \in \mathbb{R}^2$. The subscripts $\alpha,\beta$ are index for momenta. Due to Bloch's theorem, $h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)}$ is nonzero only when $\bm{k}_{\alpha}-\bm{k}_{\beta}$ is equal to the linear combination of any multiples of one of the moir\'e reciprocal lattice vectors (including the zero vector).",
8,Particle-hole transformation,hole_op,Haining,2.0,"$b_{\bm{k},l,\tau}$",
8,Particle-hole transformation,hole_op,Will,2.0,"$b_{\bm{k},l,\tau}$",
8,Particle-hole transformation,hole_op,Yasaman,2.0,"$b_{\bm{k},l,\tau}$",
8,Particle-hole transformation,particle_op,Haining,2.0,"$c_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,particle_op,Will,2.0,"$c_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,particle_op,Yasaman,2.0,"$c_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,particle_creation_op,Haining,2.0,"$c_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,particle_creation_op,Will,2.0,"$c_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,particle_creation_op,Yasaman,2.0,"$c_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,hole_creation_op,Haining,2.0,"$b_{\bm{k},l,\tau}$",
8,Particle-hole transformation,hole_creation_op,Will,2.0,"$b_{\bm{k},l,\tau}$",
8,Particle-hole transformation,hole_creation_op,Yasaman,0.0,"$b_{\bm{k},l,\tau}$",
8,Particle-hole transformation,particle_annihilation_op,Haining,2.0,"$c_{\bm{k},l,\tau}$",
8,Particle-hole transformation,particle_annihilation_op,Will,2.0,"$c_{\bm{k},l,\tau}$",
8,Particle-hole transformation,particle_annihilation_op,Yasaman,2.0,"$c_{\bm{k},l,\tau}$",
8,Particle-hole transformation,hole_annihilation_op,Haining,2.0,"$b_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,hole_annihilation_op,Will,2.0,"$b_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,hole_annihilation_op,Yasaman,0.0,"$b_{\bm{k},l,\tau}^\dagger$",
8,Particle-hole transformation,second_nonint_symbol,Haining,2.0,$\hat{\mathcal{H}}_0$,
8,Particle-hole transformation,second_nonint_symbol,Will,2.0,$\hat{\mathcal{H}}_0$,
8,Particle-hole transformation,second_nonint_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_0$,
8,Particle-hole transformation,definition_of_variables,Haining,2.0,"The hole operator is defined as $b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$. The Hamiltonian in the hole basis is represented as $\hat{\mathcal{H}}_0$.",
8,Particle-hole transformation,definition_of_variables,Will,2.0,"The hole operator is defined as $b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$. The Hamiltonian in the hole basis is represented as $\hat{\mathcal{H}}_0$.",
8,Particle-hole transformation,definition_of_variables,Yasaman,1.0,"The hole operator is defined as $b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$. The Hamiltonian in the hole basis is represented as $\hat{\mathcal{H}}_0$.",
8,Particle-hole transformation,expression_particle_Ham,Haining,,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} c_{\tau,l_1}^\dagger(k_1) H^{0}_{\tau,l_1,\tau,l_2}(k_1,k_2) c_{\tau,l_2}(k_2)$"
8,Particle-hole transformation,expression_particle_Ham,Will,,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} c_{\tau,l_1}^\dagger(k_1) H^{0}_{\tau,l_1,\tau,l_2}(k_1,k_2) c_{\tau,l_2}(k_2)$"
8,Particle-hole transformation,expression_particle_Ham,Yasaman,,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} c_{\tau,l_1}^\dagger(k_1) H^{0}_{\tau,l_1,\tau,l_2}(k_1,k_2) c_{\tau,l_2}(k_2)$"
9,Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,Haining,2.0,$\hat{\mathcal{H}}_0$,
9,Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,Will,2.0,$\hat{\mathcal{H}}_0$,
9,Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_0$,
9,Simplify the Hamiltonian in the particle-hole basis,hole_op,Haining,2.0,"$b_{\bm{k},l,\tau}$",
9,Simplify the Hamiltonian in the particle-hole basis,hole_op,Will,2.0,"$b_{\bm{k},l,\tau}$",
9,Simplify the Hamiltonian in the particle-hole basis,hole_op,Yasaman,2.0,"$b_{\bm{k},l,\tau}$",
9,Simplify the Hamiltonian in the particle-hole basis,index_1,Haining,2.0,$\bm{k}_{\alpha}$,
9,Simplify the Hamiltonian in the particle-hole basis,index_1,Will,2.0,$\bm{k}_{\alpha}$,
9,Simplify the Hamiltonian in the particle-hole basis,index_1,Yasaman,2.0,$\bm{k}_{\alpha}$,
9,Simplify the Hamiltonian in the particle-hole basis,index_2,Haining,2.0,$\bm{k}_{\beta}$,
9,Simplify the Hamiltonian in the particle-hole basis,index_2,Will,2.0,$\bm{k}_{\beta}$,
9,Simplify the Hamiltonian in the particle-hole basis,index_2,Yasaman,2.0,$\bm{k}_{\beta}$,
9,Simplify the Hamiltonian in the particle-hole basis,op,Haining,2.0,"$b_{\bm{k},l,\tau}$",
9,Simplify the Hamiltonian in the particle-hole basis,op,Will,1.0,"$b_{\bm{k},l,\tau}$",
9,Simplify the Hamiltonian in the particle-hole basis,op,Yasaman,2.0,"$b_{\bm{k},l,\tau}$",
9,Simplify the Hamiltonian in the particle-hole basis,Ham_op,Haining,2.0,"$[h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}$",
9,Simplify the Hamiltonian in the particle-hole basis,Ham_op,Will,2.0,"$[h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}$",
9,Simplify the Hamiltonian in the particle-hole basis,Ham_op,Yasaman,2.0,"$[h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}$",
9,Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,Haining,1.0,"$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$, and $\hat{\mathcal{H}}_0$ is defined as $\hat{\mathcal{H}}_0 = \sum_\tau\Tr h^{(\tau)}-\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} [h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}} b_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger b_{\bm{k}_{\beta},l_{\beta},\tau}$","$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$"
9,Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,Will,2.0,"$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$, and $\hat{\mathcal{H}}_0$ is defined as $\hat{\mathcal{H}}_0 = \sum_\tau\Tr h^{(\tau)}-\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} [h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}} b_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger b_{\bm{k}_{\beta},l_{\beta},\tau}$","$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$"
9,Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,Yasaman,2.0,"$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$, and $\hat{\mathcal{H}}_0$ is defined as $\hat{\mathcal{H}}_0 = \sum_\tau\Tr h^{(\tau)}-\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} [h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}} b_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger b_{\bm{k}_{\beta},l_{\beta},\tau}$","$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$"
9,Simplify the Hamiltonian in the particle-hole basis,expression_hole_Ham,Haining,,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} b_{\tau, l_1}(k_1) H^{0}_{\tau, l_1, \tau, l_2}(k_1, k_2) b_{\tau, l_2}^\dagger(k_2)$"
9,Simplify the Hamiltonian in the particle-hole basis,expression_hole_Ham,Will,,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} b_{\tau, l_1}(k_1) H^{0}_{\tau, l_1, \tau, l_2}(k_1, k_2) b_{\tau, l_2}^\dagger(k_2)$"
9,Simplify the Hamiltonian in the particle-hole basis,expression_hole_Ham,Yasaman,,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} b_{\tau, l_1}(k_1) H^{0}_{\tau, l_1, \tau, l_2}(k_1, k_2) b_{\tau, l_2}^\dagger(k_2)$"
10,Construct interaction Hamiltonian (momentum space),second_int_symbol,Haining,2.0,$\hat{\mathcal{H}}_{\text{int}}$,
10,Construct interaction Hamiltonian (momentum space),second_int_symbol,Will,2.0,$\hat{\mathcal{H}}_{\text{int}}$,
10,Construct interaction Hamiltonian (momentum space),second_int_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_{\text{int}}$,
10,Construct interaction Hamiltonian (momentum space),index_of_operator,Haining,0.0,,the valley index and layer index
10,Construct interaction Hamiltonian (momentum space),index_of_operator,Will,0.0,,the valley index and layer index
10,Construct interaction Hamiltonian (momentum space),index_of_operator,Yasaman,0.0,,the valley index and layer index
10,Construct interaction Hamiltonian (momentum space),momentum,Haining,0.0,,momentum
10,Construct interaction Hamiltonian (momentum space),momentum,Will,0.0,,momentum
10,Construct interaction Hamiltonian (momentum space),momentum,Yasaman,0.0,,momentum
10,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Haining,2.0,False,
10,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Will,,False,
10,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Yasaman,2.0,False,
10,Construct interaction Hamiltonian (momentum space),interaction,Haining,2.0,dual-gate screened Coulomb,
10,Construct interaction Hamiltonian (momentum space),interaction,Will,2.0,dual-gate screened Coulomb,
10,Construct interaction Hamiltonian (momentum space),interaction,Yasaman,2.0,dual-gate screened Coulomb,
10,Construct interaction Hamiltonian (momentum space),int_form,Haining,2.0,2\pi e^2\tanh(|\bm{k}|d)/(\epsilon |\bm{k}|),
10,Construct interaction Hamiltonian (momentum space),int_form,Will,2.0,2\pi e^2\tanh(|\bm{k}|d)/(\epsilon |\bm{k}|),
10,Construct interaction Hamiltonian (momentum space),int_form,Yasaman,2.0,2\pi e^2\tanh(|\bm{k}|d)/(\epsilon |\bm{k}|),
10,Construct interaction Hamiltonian (momentum space),normalization_factor,Haining,2.0,$\frac{1}{2A}$,
10,Construct interaction Hamiltonian (momentum space),normalization_factor,Will,2.0,$\frac{1}{2A}$,
10,Construct interaction Hamiltonian (momentum space),normalization_factor,Yasaman,2.0,$\frac{1}{2A}$,
10,Construct interaction Hamiltonian (momentum space),op,Haining,2.0,"$b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$, $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger$, $b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$, $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$",
10,Construct interaction Hamiltonian (momentum space),op,Will,,"$b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$, $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger$, $b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$, $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$",
10,Construct interaction Hamiltonian (momentum space),op,Yasaman,2.0,"$b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$, $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger$, $b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$, $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$",
10,Construct interaction Hamiltonian (momentum space),definition_of_variables,Haining,2.0,"$\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momenta, $l_{\alpha},l_{\beta}$ are the indices of operators, $\tau_{\alpha},\tau_{\beta}$ are the spin indices, $V(\bm{k})$ is the dual-gate screened Coulomb interaction, $d$ is the sample-to-gate distance, and $\epsilon$ is the dielectric constant.",
10,Construct interaction Hamiltonian (momentum space),definition_of_variables,Will,2.0,"$\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momenta, $l_{\alpha},l_{\beta}$ are the indices of operators, $\tau_{\alpha},\tau_{\beta}$ are the spin indices, $V(\bm{k})$ is the dual-gate screened Coulomb interaction, $d$ is the sample-to-gate distance, and $\epsilon$ is the dielectric constant.",
10,Construct interaction Hamiltonian (momentum space),definition_of_variables,Yasaman,2.0,"$\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momenta, $l_{\alpha},l_{\beta}$ are the indices of operators, $\tau_{\alpha},\tau_{\beta}$ are the spin indices, $V(\bm{k})$ is the dual-gate screened Coulomb interaction, $d$ is the sample-to-gate distance, and $\epsilon$ is the dielectric constant.",
11,Wick's theorem,second_int_symbol,Haining,2.0,$\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$,
11,Wick's theorem,second_int_symbol,Will,2.0,$\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$,
11,Wick's theorem,second_int_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$,
11,Wick's theorem,Hartree_Fock_symbol,Haining,2.0,$\hat{\mathcal{H}}^{\text{HF}}$,
11,Wick's theorem,Hartree_Fock_symbol,Will,2.0,$\hat{\mathcal{H}}^{\text{HF}}$,
11,Wick's theorem,Hartree_Fock_symbol,Yasaman,2.0,$\hat{\mathcal{H}}^{\text{HF}}$,
11,Wick's theorem,definition_of_variables,Haining,2.0,"$\hat{\mathcal{H}}^{\text{HF}}$ is the Hartree-Fock Hamiltonian, $\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$ is the interaction term in the Hartree-Fock Hamiltonian, $\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momentum vectors, $l_{\alpha},l_{\beta}$ are the orbital quantum numbers, $\tau_{\alpha},\tau_{\beta}$ are the spin quantum numbers, $V(\bm{k}_{\alpha}-\bm{k}_{\delta})$ is the interaction potential, $b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$ and $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$ are the creation and annihilation operators, and $\langle{...}\rangle$ denotes the expectation value.",
