hour,Bus1-Bus2,Bus2-Bus3,Bus3-Bus4,Bus4-Bus5,Bus6-Bus7,Bus7-Bus8,Bus8-Bus9,Bus9-Bus10,Bus10-Bus11,Bus11-Bus12,Bus12-Bus13,Bus13-Bus14,Bus14-Bus15,Bus15-Bus16,Bus16-Bus17,Bus17-Bus18,Bus18-Bus19,Bus19-Bus20,Bus1-Bus6,Bus2-Bus7,Bus3-Bus8,Bus4-Bus9,Bus5-Bus10
95,-2263.8704,-4464.9004,-2417.0883,-2575.5053,2131.6177,-559.61344,3019.7765,5000.0,1326.647,2196.4393,2664.6366,-5000.0,-3970.8008,-3283.1522,-2472.3708,-1657.384,-1263.0669,-656.53558,1500.0,1500.0,1500.0,1500.0,1500.0
96,-2389.3087,-3541.1393,-2738.351,-2832.7878,2123.8063,4147.346,-527.95324,1448.7283,3906.5672,-5000.0,-4561.4735,-5000.0,-4286.4163,-3410.4841,-2612.7587,-1656.3319,-1246.7129,-555.13364,1500.0,1500.0,1500.0,1500.0,1500.0
97,-2444.1128,-2542.6878,-510.10408,-955.72854,2169.0755,-1656.4261,1931.753,-5000.0,-2512.3891,-1661.2312,-1194.1477,-5000.0,-4166.4425,-3374.4784,-2614.7876,-1799.8965,-1321.2345,-641.73425,1500.0,1500.0,1500.0,1500.0,1500.0
98,-2050.759,-1235.6675,-727.91443,-1410.4874,-5000.0,-5000.0,-2871.4795,-891.70538,1666.652,2431.3474,2855.7052,3357.5098,-4099.1819,-3420.7532,-2536.7589,-1662.7911,-1300.7688,-587.77714,1500.0,1500.0,1500.0,1500.0,1500.0
99,-1633.9614,-1185.9917,-1641.5612,-1972.6808,1994.1669,4210.1877,531.8544,2454.5079,5000.0,-2738.6918,-2232.4742,-1702.224,-3871.0385,-3192.6098,-2396.8241,-1599.3328,-1237.3105,-537.5687,1500.0,1500.0,1500.0,1500.0,1500.0
100,-2194.3019,-3719.912,-1801.2626,-1300.0348,2186.5566,4346.7874,2876.8751,-1744.2346,762.11429,1561.1442,2065.1992,-5000.0,-3986.7399,-3219.4625,-2334.501,-1522.7385,-1135.2233,-508.21179,1500.0,1500.0,1500.0,1500.0,1500.0
101,-2206.9967,-3074.5936,-2198.283,-2001.4569,-4708.05,-2593.4484,880.86732,-3808.2894,-1309.8872,-5000.0,-4527.3923,-3895.3373,-4090.3381,-3312.4123,-2440.707,-1652.6407,-1179.3247,-506.306,1500.0,1500.0,1500.0,1500.0,1500.0
102,-2310.2703,-1405.7474,-2204.3297,-2077.8529,-564.45829,1545.5838,5000.0,2506.0534,5000.0,2806.5175,3363.2207,-5000.0,-4049.0542,-3262.4738,-2340.5464,-1552.1584,-1190.1361,-533.5885,1500.0,1500.0,1500.0,1500.0,1500.0
103,-2427.7456,-3465.584,-3484.334,-2438.9673,2294.5813,4410.1019,-772.83866,1198.1505,3660.7709,4371.8933,-4570.267,-4035.2632,-4044.6867,-3288.7234,-2414.4237,-1633.3646,-1271.3422,-504.75595,1500.0,1500.0,1500.0,1500.0,1500.0
104,-2471.4524,-3600.7885,-4258.0107,-3349.4236,-5000.0,-5000.0,-1541.9092,497.69259,3080.9326,-5000.0,-4534.5876,-5000.0,-3940.3917,-3167.5935,-2294.9254,-1524.4657,-1103.2092,-460.09208,1500.0,1500.0,1500.0,1500.0,1500.0
105,-2408.803,-4025.1199,-5000.0,-3878.4936,2235.5329,1515.311,5000.0,-1498.0109,-5000.0,-4230.2782,-3711.3518,-5000.0,-4261.1626,-3454.7874,-2531.002,-1700.7507,-1219.6697,-470.79596,1500.0,1500.0,1500.0,1500.0,1500.0
106,-2287.4024,-4755.9413,-4385.0107,-5000.0,-3193.9007,-1144.5068,-5000.0,-2969.9636,-423.005,-5000.0,-4470.2965,-5000.0,-4176.2322,-3370.7419,-2470.3891,-1745.2724,-1221.328,-472.9536,1500.0,1500.0,1500.0,1500.0,1500.0
107,-2198.8001,-4558.3543,-5000.0,-3144.0739,2302.9003,-1642.5142,-4677.8975,-2569.1741,-16.738491,-5000.0,-5000.0,-4514.6677,-4007.8896,-3306.3942,-2412.1404,-1627.7288,-1175.9962,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
108,-2208.7854,-4580.6219,-5000.0,-5000.0,2333.6403,2776.3597,-326.72286,1659.1951,4175.0052,5000.0,5000.0,-2221.5795,-4153.597,-3341.5659,-2446.2558,-1617.5414,-1151.9884,-474.67377,1500.0,1500.0,1500.0,1500.0,1500.0
109,-2307.3022,-4800.3186,-4690.8044,-3910.3842,2324.7672,4321.4975,342.98422,1257.7604,3691.0912,4411.737,5000.0,2635.1264,-3995.9709,-3204.4137,-2417.2413,-1679.1196,-1124.0463,-395.96286,1500.0,1500.0,1500.0,1500.0,1500.0
110,-2416.12,-5000.0,-5000.0,-3939.2164,2347.9943,4263.0699,-735.20142,1284.3356,1951.163,2767.467,3360.211,3723.5525,-4068.6868,-3215.8862,-2323.1093,-1597.6343,-1182.7233,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
111,-2333.4023,-5000.0,-5000.0,-4565.9688,2269.5862,4253.8209,602.79526,2568.787,5000.0,4260.4155,4772.9279,-5000.0,-4156.2732,-3153.9758,-2278.3425,-1529.2295,-1029.7208,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
112,-2374.9258,-4951.1223,-4724.4459,-2742.2168,-5000.0,-3070.1418,-2362.686,-305.18956,-5000.0,-4252.2181,-3602.438,-3221.9838,-3996.4184,-3117.1368,-2333.5783,-1512.9893,-974.71815,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
113,-2246.2208,-4664.1045,-5000.0,-4240.004,-5000.0,-3084.8249,-3233.2487,-1177.0747,1250.0679,2127.035,2686.833,-5000.0,-3944.4031,-3092.5984,-2281.4766,-1507.5312,-947.44845,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
114,-2154.2636,-4459.036,-5000.0,-3939.1779,2392.5483,-1230.5985,-3866.0362,-1729.1665,613.04101,1079.159,1706.0315,-5000.0,-4072.7246,-3154.0277,-2343.9334,-1602.003,-1082.1435,-398.67662,1500.0,1500.0,1500.0,1500.0,1500.0
115,-2162.4004,-4477.1815,-5000.0,-4038.2706,-2647.3707,-621.70775,2909.9974,5000.0,2098.2901,2951.7081,-3209.8917,-2761.42,-4123.5549,-3223.2519,-2429.1282,-1630.6741,-1077.1928,-534.62261,1500.0,1500.0,1500.0,1500.0,1500.0
116,-2257.1684,-4688.5181,-5000.0,-3485.5717,-5000.0,-3003.0568,492.65108,-1017.2611,1344.2041,2212.4086,2903.4839,-5000.0,-3886.2619,-2987.1711,-2180.5318,-1454.2298,-1021.9408,-415.10213,1500.0,1500.0,1500.0,1500.0,1500.0
117,-2358.5878,-4914.6877,-5000.0,-5000.0,2277.6036,-3168.8335,306.48069,2447.4472,4835.8752,3357.2488,3911.9206,-5000.0,-4203.2132,-3294.5549,-2443.3874,-1619.5206,-1092.3569,-456.22426,1500.0,1500.0,1500.0,1500.0,1500.0
118,-2381.1065,-4964.9054,-5000.0,-1868.0555,-5000.0,-3103.7378,-399.95305,1702.1263,4089.8056,5000.0,-3580.2621,-5000.0,-4295.2753,-3315.5955,-2491.4662,-1671.8186,-1087.3478,-474.67134,1500.0,1500.0,1500.0,1500.0,1500.0
119,-2298.79,-4781.3362,-4217.4944,-1767.0666,-5000.0,-3161.3091,463.24458,-5000.0,-2642.7046,-5000.0,-5000.0,-4672.2389,-3903.9801,-3086.795,-2390.9179,-1596.8495,-1084.1399,-469.71567,1500.0,1500.0,1500.0,1500.0,1500.0
120,-2165.1189,-4483.2438,-4611.9608,-1519.1633,2221.3229,4119.3766,5000.0,1032.8464,3430.8023,4307.8041,5000.0,-1840.2261,-4083.0442,-3190.3453,-2405.1083,-1626.7454,-1063.6339,-468.81751,1500.0,1500.0,1500.0,1500.0,1500.0
121,-2072.3184,-4276.2947,-5000.0,-1389.8366,-414.2012,1524.9652,5000.0,1573.3767,3918.3247,221.30285,876.83957,-5000.0,-4059.8959,-3243.3927,-2428.8023,-1641.6639,-1062.4734,-423.24901,1500.0,1500.0,1500.0,1500.0,1500.0
122,-2081.1883,-4296.075,-3104.5288,-1010.5089,2241.0394,1415.4476,5000.0,1508.3188,3922.3387,-1586.3369,-5000.0,-4600.8469,-4137.2795,-3254.2192,-2491.2247,-1621.7371,-1086.9116,-566.44746,1500.0,1500.0,1500.0,1500.0,1500.0
123,-2174.8633,-4504.9743,-5000.0,-2463.8603,2175.0826,1362.6412,5000.0,687.71694,478.79681,1409.8756,1958.9381,-5000.0,-4189.2563,-3388.6159,-2593.3007,-1677.9914,-1123.8771,-595.46554,1500.0,1500.0,1500.0,1500.0,1500.0
124,-2271.712,-4720.9511,-4602.2525,-2341.3116,2191.8173,4166.1794,2926.2751,5000.0,1502.6567,2439.9928,3043.0799,-5000.0,-3930.2099,-3114.1887,-2274.0301,-1441.3337,-951.56492,-432.24134,1500.0,1500.0,1500.0,1500.0,1500.0
125,-2287.553,-4756.2772,98.728338,1910.6205,2290.056,1365.8763,5000.0,-373.50889,-4256.179,-5000.0,-4497.1618,-4089.0741,-4092.1882,-3280.4949,-2489.2909,-1591.7621,-1073.0233,-476.25063,1500.0,1500.0,1500.0,1500.0,1500.0
126,-2199.8133,-4560.6137,-2486.5346,242.38082,2260.0953,4217.6305,1319.3824,3252.6702,5000.0,-1714.3755,-1150.3065,-671.23102,-4071.496,-3207.2193,-2452.5781,-1673.1535,-1123.3598,-524.09811,1500.0,1500.0,1500.0,1500.0,1500.0
127,-2064.7756,-4259.4739,288.84352,-1057.2838,2187.3867,4201.4588,2591.1681,1417.4695,3785.5365,4612.612,-630.54345,-244.62198,-4104.9292,-3254.7553,-2456.5327,-1593.9093,-1077.2937,-499.81664,1500.0,1500.0,1500.0,1500.0,1500.0
128,-1974.7823,-4058.7849,-1417.3993,-21.427591,2160.584,30.075837,3659.3006,1132.3239,-267.32586,695.42225,-1530.7912,-1091.4328,-4053.6425,-3322.9304,-2564.3762,-1667.2675,-1198.8345,-582.38999,1500.0,1500.0,1500.0,1500.0,1500.0
129,-1987.9807,-4088.218,-3739.6185,-1125.6863,-2646.8103,-604.47537,2966.2297,4828.505,3354.2068,4320.8881,-41.740777,-5000.0,-3933.1307,-3148.4034,-2389.1283,-1530.5681,-1032.8479,-528.61504,1500.0,1500.0,1500.0,1500.0,1500.0
130,-2084.1066,-3048.1636,-536.15677,-569.58094,-3572.7902,-1542.2147,-708.27681,-4270.7531,-1819.8503,-966.50523,-447.189,-72.687078,-4186.6376,-3450.6687,-2702.1137,-1841.0585,-1330.0571,-679.9277,1500.0,1500.0,1500.0,1500.0,1500.0
131,-2179.9714,-1149.2111,-51.833598,1229.6876,-60.692639,2009.4848,-729.96068,1181.2528,3650.3401,4533.6176,5000.0,-1937.0041,-4077.1332,-3378.4201,-2524.9843,-1648.2899,-1286.2675,-636.40766,1500.0,1500.0,1500.0,1500.0,1500.0
132,-2192.8628,-3885.3014,-2917.4322,-1887.6131,2133.4946,-1727.0235,1870.5725,-2764.927,-5000.0,-4157.0724,-5000.0,-5000.0,-4133.1181,-3391.1955,-2646.8254,-1721.6124,-1209.8198,-591.15566,1500.0,1500.0,1500.0,1500.0,1500.0
133,-2403.5798,-4646.0089,-2428.7223,-2343.9714,2096.348,-933.92831,2609.1714,2246.9156,-108.85516,771.60252,-5000.0,-5000.0,-4243.716,-3514.0864,-2641.4897,-1741.4276,-1314.1105,-633.88196,1500.0,1500.0,1500.0,1500.0,1500.0
134,-1746.1067,-3476.9348,-1011.5559,-230.75537,-635.39848,1442.4733,5000.0,2499.9927,1190.2815,2057.8293,2499.6931,-2171.9785,-4099.9766,-3239.9872,-2407.9101,-1613.2361,-1156.5712,-638.14699,1500.0,1500.0,1500.0,1500.0,1500.0
135,-1887.7507,-1056.7942,32.075068,-735.23651,-1631.9795,425.80659,3950.5387,2184.7392,1872.8507,-1473.8314,-5000.0,-4522.6458,-3926.6044,-3171.2386,-2422.8467,-1626.743,-1139.0624,-553.28031,1500.0,1500.0,1500.0,1500.0,1500.0
136,-1908.9037,-3911.8728,-2933.3976,-1607.8067,-1890.9654,-411.47764,3137.7247,5000.0,4224.4765,661.80743,-979.05801,-5000.0,-3878.23,-3199.8014,-2351.8755,-1486.0303,-1124.008,-537.63001,1500.0,1500.0,1500.0,1500.0,1500.0
137,-2010.9104,-1537.1601,-1854.9796,-1795.643,2246.3477,4363.9306,3233.457,282.74825,2880.7998,-455.76864,27.798463,-5000.0,-3977.1216,-3276.7105,-2541.3222,-1629.5686,-1248.2108,-577.71734,1500.0,1500.0,1500.0,1500.0,1500.0
138,-2109.1229,-2855.4259,-1900.3206,-2285.3526,-3884.3144,-1788.19,-3999.5405,-2073.7956,-4494.082,-5000.0,-5000.0,-4450.0534,-4007.6772,-3227.9758,-2346.0498,-1603.0783,-1203.8436,-610.77211,1500.0,1500.0,1500.0,1500.0,1500.0
139,-2122.3951,-4387.968,-5000.0,-3910.8479,2112.3662,-1112.499,-3470.4721,-1447.3431,-4012.326,-3192.521,-2652.6636,-5000.0,-4219.2911,-3384.5635,-2480.2074,-1634.3806,-1261.4154,-567.17259,1500.0,1500.0,1500.0,1500.0,1500.0
140,-2034.9065,-1949.4354,-1869.5038,-2116.3826,-3061.0925,-5000.0,-1412.077,-3249.2417,-5000.0,-4265.0499,-5000.0,-5000.0,-4058.3619,-3379.9332,-2541.0433,-1706.8709,-1207.788,-472.71705,1500.0,1500.0,1500.0,1500.0,1500.0
141,-1908.241,-2112.7785,-1335.675,-1933.062,-1761.5928,298.69523,3793.2052,5000.0,4212.9737,496.66163,-3196.9854,-2660.0562,-4063.1101,-3384.6814,-2502.8039,-1583.7925,-1212.4236,-501.78659,1500.0,1500.0,1500.0,1500.0,1500.0
142,-1834.523,-1153.6427,-1293.9079,-1728.7246,2302.1277,4322.0079,4666.8095,3448.4162,3154.2718,3364.9432,420.82497,-2711.8851,-4252.9218,-3414.4665,-2435.2496,-1616.1121,-1226.1643,-527.82166,1500.0,1500.0,1500.0,1500.0,1500.0
143,-1866.2941,-3816.8517,-4541.8703,-2628.7739,2206.2587,4378.7531,4505.7232,3052.4983,2650.6168,-503.25906,20.465001,-2138.9827,-4070.4908,-3298.409,-2437.893,-1591.6231,-1158.5943,-516.79632,1500.0,1500.0,1500.0,1500.0,1500.0
144,-1976.5263,-4062.6741,-3597.4101,-3476.0516,-2398.9821,-388.78705,3064.7261,5000.0,3634.484,-675.95446,-5000.0,-4367.7766,-4008.3804,-3290.3509,-2454.8105,-1631.7029,-1262.4653,-607.98016,1500.0,1500.0,1500.0,1500.0,1500.0
145,-2079.218,-4291.681,-5000.0,-5000.0,-3455.566,-1419.4174,-3247.9105,-1236.3639,-3414.7567,-2670.5923,-2176.5735,-5000.0,-4081.7941,-3283.8263,-2320.2474,-1609.6122,-1192.2116,-428.79503,1500.0,1500.0,1500.0,1500.0,1500.0
146,-2094.8912,-4326.633,-3041.0969,-3326.0927,2252.3273,660.17322,4171.0785,612.77786,-1677.7765,-910.85741,-395.15242,108.19643,-4215.9927,-3537.564,-2550.6242,-1716.7514,-1254.7277,-512.33771,1500.0,1500.0,1500.0,1500.0,1500.0
147,-2011.1168,-4139.8125,-5000.0,-4341.7344,2314.2423,40.406689,3492.1107,5000.0,3371.5148,4149.7484,-552.36974,-5000.0,-4169.3852,-3376.4503,-2489.8201,-1692.6293,-1253.2311,-550.94966,1500.0,1500.0,1500.0,1500.0,1500.0
148,-1891.9812,-3874.135,-5000.0,-4376.3073,-1188.4955,838.24774,4422.9988,2753.3817,2104.6572,-1479.7587,-5000.0,-4453.6555,-4281.9675,-3461.5594,-2528.5323,-1724.6268,-1262.6644,-580.213,1500.0,1500.0,1500.0,1500.0,1500.0
149,-1829.2867,-3734.3235,-5000.0,-5000.0,-1037.1226,-1760.0505,1689.0131,613.80894,3065.8464,3253.4309,413.63044,-2674.7997,-4261.8481,-3400.3799,-2456.3797,-1488.2127,-1036.9961,-437.50065,1500.0,1500.0,1500.0,1500.0,1500.0
150,-1872.643,-3831.0099,-5000.0,-5000.0,-1306.1998,-2507.192,132.55623,-1376.9406,1111.9017,1850.324,-1407.5882,-5000.0,-3849.823,-3074.2929,-2241.4293,-1530.7942,-1117.5718,-474.50714,1500.0,1500.0,1500.0,1500.0,1500.0
151,-1991.6818,-4096.4715,-5000.0,-3935.5468,2362.7949,180.2815,-899.09032,1110.9719,2103.7746,2867.8256,-1535.6736,-987.70483,-4302.4236,-3461.4594,-2623.9299,-1774.6713,-1258.4265,-471.94997,1500.0,1500.0,1500.0,1500.0,1500.0
152,-2099.1654,-4336.1646,-5000.0,-3831.451,2264.6049,-903.67906,2657.4764,4702.6641,4203.64,5000.0,-529.73672,-5000.0,-4127.6859,-3327.574,-2413.4975,-1666.8406,-1068.0068,-448.2198,1500.0,1500.0,1500.0,1500.0,1500.0
153,-2117.3941,-4376.8155,-5000.0,-5000.0,-3764.5118,-1670.644,-3532.1311,-1453.7109,1006.6976,-5000.0,-4376.1496,-5000.0,-4207.0315,-3339.147,-2412.4853,-1637.3975,-1115.0122,-430.0581,1500.0,1500.0,1500.0,1500.0,1500.0
154,-2037.3466,-4198.3061,-5000.0,-4879.8726,2319.7058,4237.2848,2743.4667,4851.0929,2880.2911,-1359.7022,-698.06077,-342.5557,-4151.3531,-3333.4414,-2473.6388,-1713.8076,-1171.4798,-455.00253,1500.0,1500.0,1500.0,1500.0,1500.0
155,-1925.5215,-3948.9313,-5000.0,-5000.0,2305.0865,4288.8685,5000.0,3013.4088,2037.0973,-1476.7545,-861.17749,-5000.0,-3919.3579,-3070.8595,-2294.3322,-1550.3894,-976.08486,-382.93453,1500.0,1500.0,1500.0,1500.0,1500.0
156,-1873.2714,-3832.4113,-5000.0,-4609.7742,-1416.2886,-10.190977,67.823051,-1313.2431,1058.8181,1854.2364,-1333.8611,-5000.0,-4080.4763,-3256.6195,-2348.0247,-1606.7207,-1123.1052,-468.78458,1500.0,1500.0,1500.0,1500.0,1500.0
157,-1927.2077,-3952.6916,-5000.0,-3382.3538,2247.8764,1488.1321,5000.0,3019.4966,1997.5772,2789.1642,2510.5378,-1678.5629,-4236.6029,-3327.2416,-2555.7059,-1763.3054,-1125.0417,-444.23056,1500.0,1500.0,1500.0,1500.0,1500.0
158,-2053.6702,-4234.7083,-5000.0,-3942.2227,2272.7756,4213.5212,4954.7408,1790.6643,4192.0126,5000.0,692.48989,-5000.0,-4025.1031,-3103.878,-2333.3368,-1622.7017,-1054.8859,-431.6212,1500.0,1500.0,1500.0,1500.0,1500.0
159,-2164.3154,-4481.4519,-1579.0737,-4065.8251,2324.0941,-584.21527,2990.7839,5000.0,2100.002,3012.0447,-3217.3987,-5000.0,-4438.7881,-3572.411,-2778.1673,-1948.5741,-1306.3184,-551.38502,1500.0,1500.0,1500.0,1500.0,1500.0
160,-2183.3401,-4523.8779,-5000.0,-3467.1873,2283.0448,-1612.5453,-3628.1553,-1710.3452,651.02615,1522.4563,-5000.0,-5000.0,-3970.1361,-3091.9989,-2246.4904,-1465.5909,-940.28079,-422.92351,1500.0,1500.0,1500.0,1500.0,1500.0
161,-2105.1534,-4349.5181,-5000.0,-2940.206,2226.9609,-1009.2893,2589.0007,-1037.2909,1314.9218,610.99562,-5000.0,-5000.0,-4099.5277,-3299.2604,-2497.0316,-1741.414,-1088.9443,-445.3036,1500.0,1500.0,1500.0,1500.0,1500.0
162,-1998.5834,-4111.8624,-5000.0,-3314.5954,2273.1576,4269.1815,3152.4274,513.01182,2880.5209,3780.5569,-666.31085,-983.41412,-4172.3069,-3319.6881,-2546.4425,-1745.8787,-1147.6348,-574.7825,1500.0,1500.0,1500.0,1500.0,1500.0
163,-1954.416,-4013.3673,-5000.0,-3169.322,-2379.1056,-4202.8977,-4880.9529,-4239.9862,-1886.169,-1027.6344,-390.0438,-5000.0,-4165.2019,-3306.6545,-2536.614,-1639.4644,-1056.0448,-444.0891,1500.0,1500.0,1500.0,1500.0,1500.0
164,-2316.2122,-4451.1755,-5000.0,-3030.8616,2269.5298,4198.2935,3059.7328,199.33604,-1561.4791,-5000.0,-4370.2481,-4012.8321,-4167.9155,-3183.666,-2438.7115,-1619.9282,-1057.7319,-469.17655,1500.0,1500.0,1500.0,1500.0,1500.0
165,-2447.0825,-4743.0219,-5000.0,-1889.0858,-2495.3748,-599.91272,2986.2562,5000.0,5000.0,-1197.0458,-564.28124,-5000.0,-3987.6724,-3199.0341,-2430.8242,-1556.3176,-1024.9565,-500.57555,1500.0,1500.0,1500.0,1500.0,1500.0
166,-2557.7187,-4989.7454,-743.92131,1166.7344,2172.3206,-2340.2626,-5000.0,-3101.4322,-773.78522,120.0803,-5000.0,-4613.8646,-4153.2605,-3245.7106,-2556.207,-1725.6106,-1129.7872,-561.20823,1500.0,1500.0,1500.0,1500.0,1500.0
167,-2574.3385,-5000.0,-2147.2508,-793.49158,2124.563,4233.7676,727.04078,2666.2707,5000.0,2447.0325,3005.5923,-5000.0,-4092.5553,-3218.9658,-2493.395,-1578.5067,-1044.7852,-540.5523,1500.0,1500.0,1500.0,1500.0,1500.0
